1st NRG Corp
Abraxas Petroleum Corp
Adani Power Limited
Alliance Holdings GP LP
Alliance Oil Co. Ltd.
Black Ridge Oil & Gas Inc
CNOOC Finance
CNOOC Ltd
Dunes Exploration Ltd
Earthstone Energy Inc
Lubelski Wegiel Bogdanka SA
New Zealand Oil & Gas Ltd
Petróleos del Perú - PETROPERÚ S.A.
Petroleos Mexicanos S.A. de C.V.
Petron Malaysia Refining & Marketing Bhd.
Prumo Logística S.A.
PT Saka Energi Indonesia
PT Timah Tbk
PT Trada Alam Minera Tbk
Public Joint Stock Oil Company Bashneft
Rosneftegaz JSC
"Shanxi Xishan Coal and Electricity Power Co.,Ltd"
S-Oil Corporation
TransCoastal Corp
United American Petroleum Corp
